japanese,cantonese,english,category
機動戦士ガンダム 復讐のレクイエム,機動戰士高達 復仇的安魂曲,Mobile Suit Gundam: Requiem for Vengeance,作品名
機動戦士,機動戰士,Mobile Suit,術語
ガンダム,高達,Gundam,機體
ガンダムEX,高達EX,Gundam EX,機體
ザク,渣古,Zaku,機體
ザクII,渣古II,Zaku II,機體
ザクII F型,渣古II F型,Zaku II F-Type,機體
無識別型ザクⅡ F型,無識別型渣古Ⅱ F型,Unidentified Zaku II F-Type,機體
ジム,吉姆,GM,機體
グフ,老虎,Gouf,機體
グフカスタム,老虎改,Gouf Custom,機體
マゼラタンク,馬捷拉坦克,Magella Attack Tank,機體
61式戦車,61式坦克,Type 61 Tank,機體
ジオン,自護,Zeon,陣營
ジオン公国,自護公國,Principality of Zeon,陣營
ジオン公国軍,自護公國軍,Zeon Forces,陣營
地球連邦,地球聯邦,Earth Federation,陣營
地球連邦軍,地球聯邦軍,Earth Federation Forces,陣營
レッドウルフ,紅狼隊,Red Wolf Squadron,組織
イリア・ソラリ,伊莉亞·索拉里,Iria Solari,人物
ニラン・ルーサン,尼藍·盧桑,Niran Lusang,人物
リード・ゲイフィ,里德·「札普斯」·蓋菲,"Reed ""Chubs"" Gaiphy",人物
カイル・サバレッタ,凱爾·薩瓦雷塔,Kyle Savaleta,人物
アンデ・ヒートン,安德·希頓,Ande Heaton,人物
オーニー・カスガ,歐尼·春日,Orni Kasuga,人物
ヘイリー・アーヘン,海莉·亞亨,Hailey Aachen,人物
アルフィ・サイドス,阿飛·「設備發燒友」·賽多斯,"Alfie ""Gearhead"" Saidos",人物
ロルフ・ローネ,羅爾夫·羅涅,Rolf Rone,人物
ユーリ・ケラーネ,尤里·克拉里,Yuri Kellerne,人物
一年戦争,一年戰爭,One Year War,術語
宇宙世紀,宇宙世紀,Universal Century,術語
ニュータイプ,新類型人,Newtype,術語
白い悪魔,白色惡魔,White Devil,術語
モビルスーツパイロット,機動戰士駕駛員,Mobile Suit Pilot,術語
オデッサ,奧迪沙,Odessa,地名
オデッサ作戦,奧迪沙作戰,Operation Odessa,術語
ビームライフル,鐳射步槍,Beam Rifle,武器
ビームサーベル,鐳射劍,Beam Saber,武器
ビーム,鐳射,Beam,武器
ヒート・ホーク,熱能斧,Heat Hawk,武器
メガ粒子,米加粒子,Mega Particle,術語
幽霊の森,幽靈之森,Forest of Ghosts,集名（第1集）
支離破砕,支離破碎,Shattered,集名（第2集）
廃棄物処理場,廢物處理場,Scrapyard,集名（第3集）
夜半の訪問者,夜半訪客,Night Visitor,集名（第4集）
河,河流,The River,集名（第5集）
忘却の旅,遺忘之旅,Journey of Oblivion,集名（第6集）
大尉,上尉,Captain,軍階
中尉,中尉,Lieutenant,軍階
少尉,少尉,Ensign,軍階
少将,少將,Major General,軍階
少佐,少校,Major,軍階
コロニー,殖民地,Colony,術語
スペースコロニー,太空殖民地,Space Colony,術語
日升,日升,Sunrise,製作
万代南夢宮,萬代南夢宮,Bandai Namco,製作
