japanese,cantonese,english,category
機動武闘伝Gガンダム,機動武鬥傳G高達,Mobile Fighter G Gundam,作品名
ガンダム,高達,Gundam,術語
モビルファイター,機動鬥士,Mobile Fighter,術語
ガンダムファイト,高達武鬥,Gundam Fight,術語
未来世紀,未來世紀,Future Century,紀年
F.C.,未來世紀,F.C.,紀年
シャイニングガンダム,閃光高達,Shining Gundam,機體
ゴッドガンダム,神高達,God Gundam,機體
ドラゴンガンダム,天龍高達,Dragon Gundam,機體
ガンダムマックスター,美國之星高達,Maxter Gundam,機體
ボルトガンダム,金剛石高達,Bolt Gundam,機體
ガンダムローズ,玫瑰高達,Rose Gundam,機體
シュピーゲルガンダム,鏡高達,Spiegel Gundam,機體
ノーベルガンダム,諾貝爾高達,Nobel Gundam,機體
ライジングガンダム,旭日高達,Rising Gundam,機體
マスターガンダム,盟主高達,Master Gundam,機體
クーロンガンダム,九龍高達,Kowloon Gundam,機體
デビルガンダム,魔鬼高達,Devil Gundam,機體
アルティメットガンダム,終極高達,Ultimate Gundam,機體
ネロスガンダム,尼祿高達,Neros Gundam,機體
ジョンブルガンダム,約翰牛高達,John Bull Gundam,機體
ファラオガンダム,法老高達,Pharaoh Gundam,機體
ゼブラガンダム,斑馬高達,Zebra Gundam,機體
バイキングガンダム,維京高達,Viking Gundam,機體
マーメイドガンダム,人魚高達,Mermaid Gundam,機體
マタドールガンダム,鬥牛勇士高達,Matador Gundam,機體
スカルガンダム,骷髏高達,Skull Gundam,機體
テキーラガンダム,龍舌蘭高達,Tequila Gundam,機體
ウインドミルガンダム,風車高達,Windmill Gundam,機體
ミナレットガンダム,尖塔高達,Minaret Gundam,機體
テムジンガンダム,鐵木真高達,Temjin Gundam,機體
ゼウスガンダム,宙斯高達,Zeus Gundam,機體
アシュラガンダム,阿修羅高達,Ashura Gundam,機體
マンダラガンダム,曼陀羅高達,Mandala Gundam,機體
コブラガンダム,毒蛇高達,Cobra Gundam,機體
ランバージャックガンダム,伐木高達,Lumberjack Gundam,機體
グランドガンダム,大天王高達,Grand Gundam,機體
ガンダムヘブンズソード,天劍絕刀,Gundam Heaven's Sword,機體
ウォルターガンダム,獅王爭霸,Walter Gundam,機體
笑傲江湖,笑傲江湖,Gundam Nobel (DG),機體
風雲再起,風雲再起,Fuunsaiki,機體
ドモン・カッシュ,杜門·卡遜,Domon Kasshu,人物
レイン・ミカムラ,莉英·米加姆拉,Rain Mikamura,人物
キョウジ・カッシュ,京治·卡遜,Kyoji Kasshu,人物
カッシュ博士,卡遜博士,Dr. Kasshu,人物
ミカムラ博士,深村博士,Dr. Mikamura,人物
ウルベ・イシカワ,烏爾貝·石川,Ulube Ishikawa,人物
東方不敗マスター・アジア,東方不敗亞洲天王,Master Asia,人物
東方不敗,東方不敗,Undefeated of the East,人物
サイ・サイシー,賽采斯,Sai Saici,人物
チボデー・クロケット,奇波迪·克拉凱特,Chibodee Crocket,人物
ジョルジュ・ド・サンド,喬治·迪·桑德,George de Sand,人物
アルゴ・ガルスキー,阿魯高·加魯斯基,Argo Gulskii,人物
ナスターシャ,娜絲塔夏,Nastasha,人物
シュバルツ・ブルーダー,史巴魯·保魯特,Schwarz Bruder,人物
アレンビー・ビアズリー,阿莉比·比亞茲利,Allenby Beardsley,人物
ウォン・ユンファ,黃潤發,Wong Yunfat,人物
チャップマン,卓文,Chapman,人物
ミケロ・チャリオット,米基洛·查里奧特,Michelo Chariot,人物
レイモンド,雷蒙特,Raymond,人物
マリアルイゼ,瑪莉安羅潔,Marie Louise,人物
瑞山,瑞山,Zuisan,人物
慧雲,慧雲,Keiun,人物
シャッフル同盟,撲克同盟,Shuffle Alliance,組織
キング・オブ・ハート,紅心王,King of Heart,稱號
クイーン・ザ・スペード,葵扇王后,Queen the Spade,稱號
ジャック・イン・ダイヤ,鑽石武士,Jack in Diamond,稱號
クラブ・エース,梅花艾斯,Club Ace,稱號
ブラック・ジョーカー,黑色小丑,Black Joker,稱號
DG細胞,DG細胞,DG Cell,術語
デビルガンダム四天王,魔鬼高達四天王,Devil Gundam Four Heavenly Kings,術語
モビルトレースシステム,機動追蹤系統,Mobile Trace System,術語
スーパーモード,超級模式,Super Mode,術語
ハイパーモード,憤怒模式,Hyper Mode,術語
バーサーカーシステム,狂戰士系統,Berserker System,術語
石破天驚拳,石破天驚拳,Sekiha Tenkyoken,招式
シャイニングフィンガー,閃光掌,Shining Finger,招式
ゴッドフィンガー,爆裂神掌,God Finger,招式
爆熱ゴッドフィンガー,爆熱爆裂神掌,Bakunetsu God Finger,招式
石破ラブラブ天驚拳,石破天驚Love Love拳,Sekiha Love Love Tenkyoken,招式
超級覇王電影彈,超級霸王電影彈,Choukyuu Haou Den'eidan,招式
真・流星胡蝶剣,真·流星胡蝶劍,Shin Ryuusei Kochouken,招式
流派東方不敗,流派東方不敗,School of the Undefeated of the East,術語
ネオジャパン,新日本,Neo Japan,國家
ネオチャイナ,新中國,Neo China,國家
ネオアメリカ,新美國,Neo America,國家
ネオロシア,新俄羅斯,Neo Russia,國家
ネオフランス,新法國,Neo France,國家
ネオドイツ,新德國,Neo Germany,國家
ネオスウェーデン,新瑞典,Neo Sweden,國家
ネオホンコン,新香港,Neo Hong Kong,國家
ネオイングランド,新英國,Neo England,國家
ネオイタリア,新意大利,Neo Italy,國家
ギアナ高地,圭亞那高地,Guiana Highlands,地名
ランタオ島,大嶼山,Lantau Island,地名
ビーム,鐳射,Beam,術語
ビームサーベル,光束劍,Beam Saber,武器
ビームライフル,鐳射步槍,Beam Rifle,武器
バルカン砲,火神機砲,Vulcan Gun,武器
