japanese,cantonese,english,category
機動戦士ガンダム 鉄血のオルフェンズ,機動戰士高達 鐵血的孤兒,Mobile Suit Gundam: Iron-Blooded Orphans,作品名
ガンダム,高達,Gundam,術語
モビルスーツ,機動戰士,Mobile Suit,術語
モビルアーマー,機動裝甲,Mobile Armor,術語
ガンダム・フレーム,高達骨架,Gundam Frame,骨架
ガンダム・バルバトス,高達巴巴托司,Gundam Barbatos,機體
バルバトス,巴巴托司,Barbatos,機體
ガンダム・バルバトスルプス,高達巴巴托司狼式,Gundam Barbatos Lupus,機體
バルバトスルプス,巴巴托司狼式,Barbatos Lupus,機體
ルプス,狼式,Lupus,機體
ガンダム・バルバトスルプスレクス,高達巴巴托司狼王式,Gundam Barbatos Lupus Rex,機體
バルバトスルプスレクス,巴巴托司狼王式,Barbatos Lupus Rex,機體
ルプスレクス,狼王式,Lupus Rex,機體
ガンダム・グシオン,高達古辛,Gundam Gusion,機體
グシオン,古辛,Gusion,機體
ガンダム・グシオンリベイク,高達古辛重鍛型,Gundam Gusion Rebake,機體
グシオンリベイク,古辛重鍛型,Gusion Rebake,機體
リベイク,重鍛型,Rebake,機體
ガンダム・グシオンリベイクフルシティ,高達古辛重鍛型FC,Gundam Gusion Rebake Full City,機體
グシオンリベイクフルシティ,古辛重鍛型FC,Gusion Rebake Full City,機體
ガンダム・キマリス,高達錫蒙力,Gundam Kimaris,機體
キマリス,錫蒙力,Kimaris,機體
ガンダム・キマリストルーパー,高達錫蒙力騎兵,Gundam Kimaris Trooper,機體
キマリストルーパー,錫蒙力騎兵,Kimaris Trooper,機體
ガンダム・フラウロス,高達佛勞洛斯,Gundam Flauros,機體
フラウロス,佛勞洛斯,Flauros,機體
ガンダム・ヴィダール,高達維度爾,Gundam Vidar,機體
ヴィダール,維度爾,Vidar,機體
ガンダム・キマリスヴィダール,高達錫蒙力維度爾,Gundam Kimaris Vidar,機體
キマリスヴィダール,錫蒙力維度爾,Kimaris Vidar,機體
ガンダム・バエル,高達巴力,Gundam Bael,機體
バエル,巴力,Bael,機體
ガンダム・アスタロト,高達亞斯塔錄,Gundam Astaroth,機體
アスタロト,亞斯塔錄,Astaroth,機體
ガンダム・アスタロトオリジン,高達亞斯塔錄原型,Gundam Astaroth Origin,機體
ガンダム・アスタロトリナシメント,高達亞斯塔錄重生型,Gundam Astaroth Rinascimento,機體
ガンダム・ヴァルキュリア,高達化勒,Gundam Vual,機體
ガンダム・ヴァルキュリアユハナ,高達化勒尤漢娜,Gundam Vual Yuhana,機體
ガンダム・ダンタリオン,高達但他林,Gundam Dantalion,機體
ダンタリオン,但他林,Dantalion,機體
ガンダム・ダンタリオンハーフカウル,高達但他林全罩型,Gundam Dantalion Half Cowl,機體
ガンダム・アンドラス,高達安托士,Gundam Andras,機體
ガンダム・マルコシアス,高達馬可西亞斯,Gundam Marchosias,機體
ガンダム・グレモリー,高達格莫瑞,Gundam Gremory,機體
ガンダム・ゼエル,高達斯爾,Gundam Zepar,機體
ガンダム・アガレス,高達阿加雷斯,Gundam Agares,機體
ガンダム・ヴァサゴ,高達瓦沙克,Gundam Vassago,機體
ガンダム・アスモデウス,高達阿斯莫德,Gundam Asmoday,機體
グレイズ,古尼捷,Graze,機體
シュヴァルベ・グレイズ,舒華爾比·古尼捷,Schwalbe Graze,機體
シュヴァルベ,舒華爾比,Schwalbe,機體
グレイズリッター,古尼捷·烈達,Graze Ritter,機體
リッター,烈達,Ritter,機體
ヘルムヴィーゲ・リンカー,赫蘿克·古尼捷,Helmwige Linker,機體
グレイズ・シュタッヘル,古尼捷·斯達克爾,Graze Stachel,機體
シュタッヘル,斯達克爾,Stachel,機體
グレイズ・シールド,古尼捷·斯路特,Graze Schild,機體
シールド,斯路特,Schild,機體
レギンレイズ,雷金尼捷,Reginlaze,機體
レギンレイズジュリア,雷金尼捷·茱莉亞,Reginlaze Julia,機體
ギャラルホルン,加拉爾號角,Gjallarhorn,機體
グレイズ・アイン,古尼捷·艾因,Graze Ein,機體
スピナ・ロディ,旋風·羅迪,Spinner Rodi,機體
ロディ・フレーム,羅迪骨架,Rodi Frame,機體
マン・ロディ,人型·羅迪,Man Rodi,機體
ゲイレール,基尼爾,Geirail,機體
ゲイレール・シャルフリヒター,基尼爾·莎佛歷達,Geirail Scharfrichter,機體
シャルフリヒター,莎佛歷達,Scharfrichter,機體
ヴァルキュリア・フレーム,華爾基麗骨架,Valkyria Frame,骨架
イオ・フレーム,伊俄骨架,Io Frame,骨架
ヘキサ・フレーム,六骨架,Hexa Frame,骨架
エンキドゥ・フレーム,安期度蘭斯骨架,Enkidu Frame,骨架
テイワズ・フレーム,提華茲骨架,Teiwaz Frame,骨架
百の位フレーム,百骨架,Hyakuri Frame,骨架
ハシュマル,哈斯武,Hashmal,機體
プルーマ,普隆瑪,Pluma,機體
三日月・オーガス,三日月·奧格斯,Mikazuki Augus,人物
オルガ・イツカ,澳加·伊祖卡,Orga Itsuka,人物
クーデリア,古荻利亞,Kudelia,人物
アトラ・ミクスタ,亞多娜·米古斯達,Atra Mixta,人物
昭弘・アルトランド,昭弘·阿爾特蘭,Akihiro Altland,人物
ノルバ・シノ,路巴·仙奴,Norba Shino,人物
ビスケット・グリフォン,畢斯杰特·格里芬,Biscuit Griffon,人物
ユージン,尤真,Eugene,人物
タカキ,達加奇,Takaki,人物
ライド・マッス,萊特·馬斯,Ride Mass,人物
ヤマギ,逸馬基,Yamagi,人物
ダンテ・モグロ,丹特·摩古羅,Dante Mogro,人物
ハッシュ・ミディ,夏斯·米迪,Hush Middy,人物
マクギリス・ファリド,麥基利斯·法里度,McGillis Fareed,人物
ガエリオ・ボードウィン,蓋里奧·巴特韋恩,Gaelio Bauduin,人物
ラスタル・エリオン,拉斯達爾·艾利安,Rustal Elion,人物
ジュリエッタ・ジュリス,茱莉雅達·朱里斯,Julieta Juris,人物
カルタ・イシュー,嘉達·伊素,Carta Issue,人物
イオク・クジャン,伊奧克·古捷因,Iok Kujan,人物
クランク・ゼント,告蘭克·錢特,Crank Zent,人物
アイン・ダルトン,愛因·達爾頓,Ein Dalton,人物
名瀬・タービン,名瀨·他賓,Naze Turbine,人物
アミダ・アルカ,亞米達·艾卡,Amida Arca,人物
ラフタ,拉芙達,Lafter,人物
アジー,亞芝,Azee,人物
マクマード・バリストン,麥馬度·巴利斯頓,McMurdo Barriston,人物
ナディ,拿迪,Nadi,人物
メリビット,瑪莉畢特,Merribit,人物
フミタン,芙美頓,Fumitan,人物
厄祭戦争,災難戰爭,Calamity War,術語
P.D.,災難戰後,Post Disaster,術語
阿頼耶識システム,阿賴耶識系統,Alaya-Vijnana System,術語
ナノラミネートアーマー,納米層裝甲,Nano Laminate Armor,術語
エイハブ・リアクター,亞哈反應爐,Ahab Reactor,術語
エイハブ・ウェーブ,亞哈波,Ahab Wave,術語
ニュータイプ,新類型人,Newtype,術語
ビーム,鐳射,Beam,術語
ダインスレイヴ,丹因斯尼夫,Dainsleif,武器
ヒューマン・デブリ,廢棄人,Human Debris,術語
ギャラルホルン,加拉爾號角,Gjallarhorn,組織
鉄華団,鐵華團,Tekkadan,組織
テイワズ,提華茲,Teiwaz,組織
タービンズ,他賓氏,Turbines,組織
ブルワーズ,普魯華茲,Brewers,組織
アーブラウ,亞布羅,Arbrau,組織
セブンスターズ,七星家族,Seven Stars,組織
モンターク商会,蒙特商會,Montag Company,組織
クリュセ,克里斯,Chryse,地名
アリアンロッド,阿麗安蘿德,Arianrhod,組織
夜明けの地平線団,破曉地平線軍團,Dawn Horizon Corps,組織
CGS,克里斯警衛保安公司,Chryse Guard Security,組織
グシオンハンマー,古辛大鐵鎚,Gusion Hammer,武器
グシオンアックス,古辛戰斧,Gusion Axe,武器
デストロイアンカー,破壞錨,Destroy Anchor,武器
チョッパーメイス,砍鎚,Chopper Mace,武器
ライフル・カノン,線膛砲,Rifle Cannon,武器
ハルバード,長柄斧,Halberd,武器
レンチメイス,大夾鎚矛,Wrench Mace,武器
デストロイブレイド,破滅大刀,Destroy Blade,武器
キマリスセイバー,錫蒙力劍,Kimaris Saber,武器
キマリスシールド,錫蒙力護盾,Kimaris Shield,武器
シールドシザー,護盾大剪刀,Shield Scissor,武器
バーストサーベル,爆烈劍,Burst Saber,武器
ワイヤーブレイド,飛索刀,Wire Blade,武器
レールガン,軌道砲,Railgun,武器
ジュリアンソード,茱莉安之劍,Julian Sword,武器
レクスネイル,狼王爪,Rex Nail,武器
ヒールパイルバンカー,腳跟樁槍,Heel Pile Bunker,武器
テールブレイド,尾部飛索刀,Tail Blade,武器
パイルバンカー,樁槍,Pile Bunker,武器
メイス,鎚矛,Mace,武器
太刀,太刀,Katana,武器
ナックルガード,指節罩,Knuckle Guard,武器
ツインパイルバンカー,雙樁槍,Twin Pile Bunker,武器
ワイヤークロー,飛索鉤爪,Wire Claw,武器
イサリビ,漁火號,Isaribi,艦船
ホタルビ,螢火號,Hotarubi,艦船
鬼火,鬼火號,Onibi,艦船
ハンマーヘッド,鎚頭鯊號,Hammerhead,艦船
スレイプニル,斯雷普尼爾號,Sleipnir,艦船
ヴァナディース,雲娜迪斯號,Vanadis,艦船
クタン参型,告坦三型,Kutan Type-III,支援機
クタン壱型,告坦一型,Kutan Type-I,支援機
