term,category,notes
RX-78-2,型號,原祖高達型號
RX-93,型號,ν高達型號
RX-93ff,型號,Ξ高達原型號
NZ-666,型號,潘尼洛普型號（奧德修斯），實際為不同編號
PMX-000,型號,梅薩型號
PMX-001,型號,梅薩F01型號
PMX-001-HC,型號,梅薩F02型號（指揮官機）
PMX-002,型號,梅薩F型裸機
FA-010A,型號,古斯塔夫卡爾型號
ORX-005,型號,凱普蘭型號
MS-06,型號,積根型號
RMS-099,型號,積根A型號
U.C.,紀年,Universal Century縮寫
U.C.0093,紀年,馬沙之反擊時期
U.C.0100,紀年,新自護共和國交出自治權
U.C.0105,紀年,本作故事時期
HGUC,模型系列,High Grade Universal Century
MG,模型系列,Master Grade
SD,模型級別,Super Deformed
1/144,比例,HG / RG 模型比例
1/100,比例,MG 模型比例
4K Ultra HD,媒體規格,4K超高清藍光版
Blu-ray,媒體規格,藍光光碟
Netflix,串流平台,網絡播放平台
BANDAI,品牌,萬代
BANDAI SPIRITS,品牌,萬代精神
SUNRISE,品牌,日昇動畫
NXEDGE STYLE,品牌,萬代模型品牌
ROBOT魂,品牌,萬代可動成品品牌
STRICT-G,品牌,高達服飾品牌
ASUS,品牌,華碩品牌
Alexandros,樂團,日本搖滾樂隊（主題曲歌手）
UC NexT 0100,計劃,高達系列故事延續計劃
宇宙世紀 Next 0100計劃,計劃,UC世紀延續計劃
GUNDAM FAN GATHERING,活動,高達粉絲見面會
GUNDAM Channel,頻道,官方YouTube頻道
Road to U.C.0105,活動,頻道訂閱達成活動
IMAX,影院格式,IMAX影院
杜比影院,影院格式,Dolby Cinema
杜比全景聲,音頻格式,Dolby Atmos
Dolby Cinema,影院格式,杜比影院格式
影院現場發售,商品方式,電影院限定販售
限定版,產品類型,限量版本
普通版,產品類型,標準版本
朗讀CD,媒體,小說朗讀光碟
原聲碟,媒體,原聲帶CD
Flash,技術術語,動漫格式
TV版,媒體類型,電視版本
劇場版,媒體類型,電影版本
第24屆上海國際電影節,活動,上海電影節
2020年靜岡模型展,活動,靜岡模型展
2021年「GUNPLA EXPO」,活動,全球高達塑膠模型展覽會
日本國內票房,票房統計,日本本土票房
22.3億日圓,票房金額,票房收入金額
