term,category,notes
GF13-017NJ,型號,閃光高達型號
GF13-017NJII,型號,神高達型號
GF13-011NC,型號,天龍高達型號
GF13-006NA,型號,美國之星高達型號
GF13-013NR,型號,金剛石高達型號
GF13-009NF,型號,玫瑰高達型號
GF13-021NG,型號,鏡高達型號
GF13-050NSW,型號,諾貝爾高達型號
GF13-017NJ/B,型號,旭日高達型號
GF13-001NHII,型號,盟主高達型號
GF13-001NH,型號,九龍高達型號
JDG-00X,型號,魔鬼高達型號
GF13-XXX,型號,高達型號通用格式
F.C.,紀年,Future Century 未來世紀
F.C.60,紀年,故事時間點
HG,模型級別,High Grade 1/144
MG,模型級別,Master Grade 1/100
RG,模型級別,Real Grade 1/144
PG,模型級別,Perfect Grade 1/60
SD,模型級別,Super Deformed
SDCS,模型級別,SD Cross Silhouette
HGFC,模型系列,High Grade Future Century
MG,模型系列,Master Grade
RG,模型系列,Real Grade
HG,模型系列,High Grade
DG,術語,Devil Gundam Cells
BANDAI,品牌,萬代
BANDAI SPIRITS,品牌,萬代精神
SUNRISE,品牌,日昇動畫
Shining Gundam,英文名,閃光高達（包裝常見）
God Gundam,英文名,神高達（包裝常見）
Burning Gundam,英文名,神高達美版名（包裝常見）
Dragon Gundam,英文名,天龍高達（包裝常見）
Maxter Gundam,英文名,美國之星高達（包裝常見）
Bolt Gundam,英文名,金剛石高達（包裝常見）
Rose Gundam,英文名,玫瑰高達（包裝常見）
Spiegel Gundam,英文名,鏡高達（包裝常見）
Nobel Gundam,英文名,諾貝爾高達（包裝常見）
Rising Gundam,英文名,旭日高達（包裝常見）
Master Gundam,英文名,盟主高達（包裝常見）
Devil Gundam,英文名,魔鬼高達（包裝常見）
Dark Gundam,英文名,魔鬼高達美版名（包裝常見）
Master Asia,英文名,東方不敗（包裝及設定常見）
Shuffle Alliance,英文名,撲克同盟（設定常見）
KING OF HEART,稱號,紅心王
QUEEN OF SPADES,稱號,葵扇王后
JACK OF DIAMOND,稱號,鑽石武士
ACE OF CLUB,稱號,梅花艾斯
BLACK JOKER,稱號,黑色小丑
SUPER MODE,術語,超級模式
HYPER MODE,術語,憤怒模式
1/144,比例,HG / RG 模型比例
1/100,比例,MG 模型比例
1/60,比例,PG 模型比例
Runner,模型術語,零件框架（水口板）
Gate,模型術語,水口
Decal,模型術語,水貼
Panel Line,模型術語,墨線
Top Coat,模型術語,保護漆
Nub,模型術語,水口痕
Inner Frame,模型術語,內構骨架
