japanese,cantonese,english,category
ちいかわ,芝伊卡哇,Chiikawa,作品名
吉伊卡哇,吉伊卡哇,Chiikawa,作品譯名
痴卡哇,芝伊卡哇,Chiikawa,作品俗稱
小可愛,小可愛,Cute Animal,主角
盔甲人,盔甲人,Armored One,人物
奇美拉,奇美拉,Chimera,生物
除草,除草,Weeding,工作
討伐,討伐,Subjugation,工作
Chiikawa Park,芝伊卡哇樂園,Chiikawa Park,地點
東京池袋,東京池袋,Tokyo Ikebukuro,地點
長野,長野,Nagano,人物
小八貓,小八貓,Kotaro Tanaka,人物
田中誠人,田中誠人,Seito Tanaka,人物
睡衣派隊,睡衣派隊,Pajama Squad,角色組合
諸星堇,諸星堇,Sumire Morohoshi,人物
長繩麻理亞,長繩麻理亞,Maria Naganawa,人物
篠原侑,篠原侑,Yu Shinohara,人物
內山菜莉,內山菜莉,Nairi Uchiyama,人物
影山浩宣,影山浩宣,Hironobu Kageyama,人物
杉並兒童合唱團,杉並兒童合唱團,Suginami Children's Chorus,樂隊
杉本龍一,杉本龍一,Ryuichi Sugimoto,人物
トクマルシューゴ,托庫瑪魯修戈,Tokumarushuugo,作曲家
立山秋航,立山秋航,Akikoh Tateyama,作曲家
ナガノ,長野,Nagano,作者
講談社,講談社,Kodansha,出版社
動畫工房,動畫工房,Doga Kobo,動畫公司
Morning,Morning,Morning,雜誌
X,X,X,平台
Twitter,Twitter,Twitter,平台
