term,category,notes
MS-06F,型號,渣古II F型嘅機體編號
MS-06Rb-a,型號,無識別型渣古Ⅱ F型（伊莉亞機）
MS-06Rb-b,型號,無識別型渣古Ⅱ F型（尼藍機）
RX-78,型號,高達系列嘅機體編號
EX,型號,高達EX嘅型號後綴
HLV,縮寫,Heavy Launch Vehicle — 重型發射載具
HLV-8,縮寫,第8號重型發射載具
HLV-9,縮寫,第9號重型發射載具
UMRC,縮寫,中立醫療組織名稱
U.C.0079,紀年,宇宙世紀0079年
Netflix,品牌,串流平台名
SAFEHOUSE,品牌,聯合製作工作室
Iria Solari,英文名,伊莉亞·索拉里嘅英文名（英語對白中出現）
Niran,英文名,尼藍·盧桑嘅英文名（英語對白中出現）
Chubs,英文名,里德·蓋菲嘅綽號（英語對白中出現）
Gearhead,英文名,阿飛·賽多斯嘅綽號（英語對白中出現）
Red Wolf,代號,紅狼隊嘅英文代號（無線電通訊中出現）
Red Wolf Alpha,代號,伊莉亞嘅無線電呼號
Red Wolf Charlie,代號,尼藍嘅無線電呼號
Red Wolf Delta,代號,凱爾嘅無線電呼號
Newtype,術語,新類型人嘅英文（劇中可能以英文出現）
Gundam,術語,高達嘅英文（劇中以英文出現）
Zaku,術語,渣古嘅英文（劇中以英文出現）
