japanese,cantonese,english,category
機動戦士ガンダム 閃光のハサウェイ,機動戰士高達 閃光之凱薩衛,Mobile Suit Gundam Hathaway,作品名
ハサウェイ・ノア,凱薩衛·諾亞,Hathaway Noah,人物
マフティー・ナビーユ・エリン,馬法狄·納比尤·艾林,Mafty Navue Erin,人物
ギギ・アンダルシア,琪琪·安達露西亞,Gigi Andalusia,人物
ケネス・スレッグ,堅尼斯·斯萊格,Kenneth Sleg,人物
レーン・エイム,雷恩·艾姆,Lane Aim,人物
ガウマン・ノビル,高曼·諾比爾,Gauman Nobyl,人物
エメラルダ・ズービン,艾美拉路達·茲比恩,Emeralda Zubin,人物
レイモンド・ケイン,雷蒙德·奇恩,Raymond Kane,人物
イラム・マサム,伊拉姆·馬薩姆,Iram Masamu,人物
ミヘッシャ・ヘンス,米赫莎·漢斯,Mihessha Hens,人物
ミツダ・ケンジ,光田健二,Mitsuda Kenji,人物
メイス・フラウワー,梅絲·花拉爾,Mace Flauia,人物
ハンドリー・ヨクサン,亨德利·約克森,Hendley Yoqusan,人物
ゲイス・H・ヒューゲスト,加斯·H·曉格特,Geis H. Huggest,人物
ケリア,凱莉亞,Calleia Dace,人物
クェス・パラヤ,姬絲·帕拉雅,Quess Paraya,人物
アムロ・レイ,阿寶·尼爾,Amuro Ray,人物
ブラッド・ノア,布拉度·諾亞,Brad Noah,人物
マシャ・アスロン,馬沙·亞斯洛布,Char Aznable,人物
Ξガンダム,Ξ高達,Xi Gundam,機體
ペーネロペー,潘尼洛普,Penelope,機體
メッサー,梅薩,Messer,機體
グスタフ・カール,古斯塔夫·卡爾,Gustav Karl,機體
グスタフ・カール,古斯塔夫·卡爾,Gustav Karl,機體
ガプラン,凱普蘭,Kaplan,機體
積根A型,積根A型,Zaku A Type,機體
マフティー,馬法狄,Mafty Navue Erin,組織
人類狩猟者,人類狩獵者,MAN HUNTER,組織
アナハイム,阿納海姆,Anaheim Electronics,組織
地球連邦,地球聯邦,Earth Federation,組織
サイド3,SIDE 3,Side 3,地名
ダバオ,達沃,Davao,地名
香港,香港,Hong Kong,地名
新宿,新宿,Shinjuku,地名
タサデ酒店,塔薩戴酒店,Tasaday Hotel,地名
ロディア,羅德伊塞亞,Rodeia,地名
フォン・ブラウン都市,馮·布朗,Von Braun,地名
ランタオ島,大嶼山,Lantau Island,地名
ハウゼン,豪澤恩,Hausen,運輸工具
ピサ号,比薩號,Pisa,貨運飛船
イサム号,英勇號,Issam,支援船
宇宙世紀,宇宙世紀,Universal Century,紀年
第二次ネオジオン抗争,第二次新自護戰爭,Second Neo Zeon War,事件
マシャの乱,馬沙之亂,Char's Rebellion,事件
ミノフスキーフライト,米諾夫斯基飛行,Minovsky Flight,術語
ビームライフル,鐳射步槍,Beam Rifle,武器
ビームサーベル,光束劍,Beam Saber,武器
ビームキャノン,鐳射砲,Beam Cannon,武器
メガ粒子砲,米加粒子砲,Mega Particle Cannon,武器
サイコミュ導弾,精神感應導彈,Psycommu Missile,武器
メッサー F01型,梅薩F01型,Messer F01,機體型號
メッサー F02型,梅薩F02型,Messer F02,機體型號
梅薩 F型指揮官機,梅薩F型裸機指揮官,Messer F Commander Type,機體
オデュッセウス,奧德修斯,Odysseus,機體名稱
フライング機構,飛行組件,Flight Unit,機械部件
シールド,盾牌,Shield,武器
プロペラント,推進劑,Propellant,機械部件
駆動系,驅動系統,Drive System,機械部件
ビーム防御膜,鐳射防禦屏障,Beam Defense Barrier,防禦系統
クラック部隊,喀耳刻部隊,Kirche Corps,聯邦軍部隊
レジスタンス,抵抗組織,Resistance,組織
クーデター,政變,Coup d'etat,事件
